gen,candidate,kind,fitness,homeGoals,awayGoals,goalDiff,shotDiff,boxDiff,attThirdDiff,possDiff,reversals,transPerSec,stationary,ShootRangeNear,ShootRangeFar,ShootScoreNear,ShootScoreFar,ShootPressurePenalty,RoleAttackForward,RoleAttackMidfielder,RoleAttackDefender,PassBaseScore,PassScoreScale,PassPressureBonus,PassFarBonus,CrossBonus,DribbleBaseScore,DribbleLaneBonus,DribbleFreeSpaceBonus,ClearScore,ChaseBaseScore,HoldBaseScore,CommitmentBonus,AttackDepthDefender,AttackDepthMidfielder,AttackDepthForward,HomePositionLerp,DeepRunDepth
0,parent,parent,8.3709,1.000,0.000,1.000,0.000,2.000,318.500,2.579,111.000,1.353,14.433,900,1400,100,60,10,1.2,1,0.7,30,0.02,25,10,20,50,15,10,65,85,50,15,0.55,0.7,0.85,0.45,0.9
0,child0,child,-10.6137,0.000,1.000,-1.000,0.000,0.000,109.000,2.224,52.000,0.707,103.150,1008,1639,99.81,57.47,8.482,1.145,0.983,0.7808,27.28,0.01642,24.85,8.966,19.77,55.3,18.09,10.68,59.8,73.44,51,14.53,0.6378,0.8644,0.8434,0.503,0.8
0,child1,child,2.7828,1.000,0.000,1.000,0.000,1.000,101.317,0.598,128.000,1.593,13.033,799,1306,99.58,60.55,10.64,1.295,1.27,0.7716,34.34,0.01724,27.52,9.847,19.93,49.53,15.07,11.45,60.02,93.73,49.36,15.21,0.5567,0.5519,0.7842,0.5722,1
0,child2,child,7.7631,1.000,0.000,1.000,0.000,2.000,261.817,2.495,58.000,0.973,14.433,1081,1412,109.9,69.22,8.695,1.307,1.015,0.6511,27.89,0.02102,16.12,10.18,21.07,46.36,14.2,9.335,82.47,81.53,46.56,13.08,0.5213,0.6719,0.9354,0.4569,0.8923
0,child3,child,-0.7148,0.000,0.000,0.000,0.000,0.000,170.233,0.091,244.000,3.167,14.083,956.8,1364,77.56,60.89,9.707,0.9701,0.9473,0.6405,29.19,0.02207,27.07,10.79,17.48,44.54,12.14,10.8,60.76,77.18,48.68,15.82,0.601,0.7036,0.8799,0.4857,0.9183
0,child4,child,1.8378,0.000,0.000,0.000,0.000,2.000,172.933,1.288,124.000,1.480,12.767,1049,1494,77.99,58.26,11.31,0.9988,1.121,0.6995,35.23,0.02341,23.64,10.06,21.54,55.49,17.25,7.016,69.04,81.34,55.64,12.91,0.511,0.632,1,0.5225,0.8
0,child5,child,4.5556,1.000,1.000,0.000,0.000,1.000,269.883,2.174,56.000,1.260,14.433,963.5,1506,98.31,59.02,10.29,1.238,0.9194,0.8634,31.69,0.02222,23.17,10.3,19.88,55.64,18.1,10.66,71.28,109.2,46.14,13.44,0.6648,0.5728,1,0.4926,0.8
0,child6,child,6.7633,1.000,0.000,1.000,0.000,2.000,220.883,2.705,94.000,1.133,13.533,926.6,1664,85.61,68.16,8.442,1.185,1.07,0.8445,30.64,0.01793,18.87,10.3,17,60.32,11.31,9.074,63.3,73.74,47.23,16.81,0.4874,0.7909,0.9255,0.5707,1
0,child7,child,3.2086,0.000,0.000,0.000,0.000,0.000,196.283,2.778,66.000,0.647,13.817,1148,1638,91.1,62.61,7.648,1.156,0.8773,0.6584,28.07,0.01804,25.86,10.92,18.31,46.86,20.44,9.697,64.71,87.08,62.12,12.72,0.4973,0.6228,0.9096,0.3767,0.8538
1,parent,parent,6.0604,2.000,0.000,2.000,0.000,3.000,94.283,0.076,117.000,1.813,11.117,900,1400,100,60,10,1.2,1,0.7,30,0.02,25,10,20,50,15,10,65,85,50,15,0.55,0.7,0.85,0.45,0.9
1,child0,child,0.0408,0.000,0.000,0.000,0.000,1.000,84.467,0.359,92.000,1.047,10.033,985,1322,109.3,57.93,10.25,1.172,1.002,0.6062,31.24,0.01987,20.27,9.877,18.61,54.87,16.25,8.938,72.78,91.32,65.69,18,0.5305,0.729,0.7356,0.3873,0.8319
1,child1,child,6.4483,1.000,0.000,1.000,0.000,3.000,248.133,0.232,95.000,1.287,11.517,833.2,1286,99.27,53.27,12,1.298,0.9032,0.7871,24.85,0.01964,25.43,11.52,19.12,42.73,14.86,10.81,72.68,88.09,42.58,14,0.557,0.7949,0.885,0.3692,0.8014
1,child2,child,3.1757,1.000,0.000,1.000,0.000,2.000,117.500,1.141,139.000,1.547,16.000,780.4,1510,93.56,57.39,9.244,1.168,1.095,0.6753,24.76,0.02244,30.11,10.53,19.57,43.88,17.37,7.766,70.51,84.26,38.94,15.27,0.6872,0.7237,0.8837,0.4602,1
1,child3,child,2.8429,0.000,0.000,0.000,0.000,3.000,260.733,0.960,184.000,2.253,13.867,907.5,1133,105.3,60.93,10.58,1.187,0.8008,0.7394,31.15,0.02396,24.2,10.36,18.9,46.11,15.48,11.48,59.83,88.12,66.55,13.21,0.6354,0.6334,0.8248,0.4613,1
1,child4,child,-2.5598,0.000,1.000,-1.000,0.000,1.000,89.917,1.040,75.000,1.280,12.000,1105,1264,109.7,57.09,9.769,1.459,1.276,0.6842,28.65,0.02634,23.09,10.31,20.04,53.05,16.91,11.18,69.53,89.59,52.71,13.74,0.5925,0.7148,0.9013,0.4374,0.9283
1,child5,child,2.0323,0.000,0.000,0.000,0.000,2.000,209.417,1.233,170.000,1.893,12.833,811,1436,109.8,59.43,8.475,1.145,0.9441,0.698,28.82,0.02264,24.75,9.879,18.89,43.34,15.49,11.08,71.68,83.22,53.32,16.13,0.5135,0.6969,0.7149,0.3938,0.9186
