gen,candidate,kind,fitness,homeGoals,awayGoals,goalDiff,shotDiff,boxDiff,attThirdDiff,possDiff,reversals,transPerSec,stationary,ShootRangeNear,ShootRangeFar,ShootScoreNear,ShootScoreFar,ShootPressurePenalty,RoleAttackForward,RoleAttackMidfielder,RoleAttackDefender,PassBaseScore,PassScoreScale,PassPressureBonus,PassFarBonus,CrossBonus,DribbleBaseScore,DribbleLaneBonus,DribbleFreeSpaceBonus,ClearScore,ChaseBaseScore,HoldBaseScore,CommitmentBonus,AttackDepthDefender,AttackDepthMidfielder,AttackDepthForward,HomePositionLerp,DeepRunDepth,DefendDepthDefender,DefendDepthMidfielder,DefendDepthForward,DefendBallPull,GKChaseGoalDistance,GKChaseBallDistance,GKLineOffset,GKTrackLerp
0,parent,parent,-2.6033,4.000,2.000,2.000,15.000,-3.000,-63.100,-0.005,1220.000,7.253,13.133,1400,1640,91,58.6,9.4,1.8,0.64,1,39,0.022,25,12.5,26,31,17.3,11.7,72.5,80,47.4,21.8,0.45,0.9,0.78,0.52,0.96,0.25,0.45,0.6,0.15,600,500,60,0.25
0,child0,child,9.8743,5.000,1.000,4.000,11.000,2.000,-11.383,0.713,398.000,4.127,37.617,1568,1920,90.83,56.13,7.973,1.717,0.6291,1.115,35.46,0.01806,24.85,11.21,25.7,34.29,20.86,12.5,66.69,69.12,48.35,21.12,0.5218,0.9,0.7739,0.5813,0.8217,0.2219,0.4198,0.5975,0.1514,638.7,539.6,76.18,0.2756
0,child1,child,-47.5601,0.000,2.000,-2.000,-11.000,-10.000,-350.650,-2.211,225.000,2.133,234.783,1600,1413,100.2,57.7,9.366,1.783,0.6432,1.145,36.01,0.02426,24.68,12.68,26.32,24.44,15.96,14.88,84.12,96.09,47.8,23.96,0.5192,0.7826,0.8496,0.5275,0.893,0.2324,0.473,0.387,0.1527,632.1,463.6,56.78,0.2334
0,child2,child,1.0260,3.000,1.000,2.000,8.000,0.000,-38.600,-0.435,565.000,5.213,18.133,1600,1573,84.75,51.11,8.909,1.728,0.7043,1.015,38.67,0.02339,24.36,9.695,26.39,30.09,13.99,11.08,66.34,77.85,52.31,23.61,0.4858,0.7867,0.7,0.4207,1,0.2337,0.4086,0.5842,0.1582,655.6,502.6,62.11,0.2698
0,child3,child,-2.9068,2.000,2.000,0.000,11.000,1.000,6.483,0.131,696.000,5.453,12.967,1429,1912,97.14,45.7,9.127,1.8,0.6,1.121,38.97,0.02584,29.27,11.82,26.17,33.38,19.2,13.46,50.86,84.98,45.36,24.26,0.3873,0.8362,0.7042,0.6319,1,0.2199,0.4818,0.6456,0.1475,590.2,514.4,61.88,0.2298
0,child4,child,3.5444,3.000,1.000,2.000,15.000,-1.000,44.500,-0.268,670.000,5.680,32.433,1600,1732,101.1,54.3,9.679,1.789,0.7122,1.207,41.59,0.02413,32.1,11.53,23.3,37.47,14.16,15.34,79.36,70.68,48.8,25.91,0.3852,0.9,0.7,0.5133,1,0.3016,0.4597,0.5378,0.1132,617.8,425,72.39,0.1884
0,child5,child,-1.1314,2.000,1.000,1.000,1.000,1.000,25.000,-0.472,310.000,4.387,15.567,1270,1597,78.95,55.35,10.54,1.595,0.7231,1.089,49.46,0.02731,31.89,14.62,23.69,32.35,13.23,11.27,63.61,75.24,44.36,19.66,0.4655,0.9,0.7142,0.4873,1,0.2424,0.448,0.6147,0.1864,508.7,452.1,53.39,0.2675
0,child6,child,3.7366,1.000,0.000,1.000,20.000,0.000,-15.300,-0.395,693.000,4.867,13.433,1172,1556,96.55,54.62,11.36,1.449,0.6776,0.9616,39.09,0.02284,26.05,12.47,28.87,35.73,15.13,11.5,66.02,76.98,51.8,18.52,0.4048,0.787,0.8483,0.5017,0.9161,0.2498,0.4086,0.5394,0.1431,689,603,58.7,0.2326
0,child7,child,-3.6582,2.000,1.000,1.000,2.000,-2.000,-55.500,-0.279,391.000,4.653,16.333,1378,1427,86.87,63.28,11.11,1.591,0.8507,0.895,36.97,0.02222,27.29,14.03,25.25,28.28,13.55,12.29,79.74,72.66,41.25,21.6,0.4371,0.8949,0.9713,0.414,1,0.259,0.4426,0.6095,0.1174,612.6,537.2,46.46,0.231
1,parent,parent,4.9248,2.000,1.000,1.000,18.000,3.000,5.000,0.339,556.000,4.380,19.467,1568,1920,90.83,56.13,7.973,1.717,0.6291,1.115,35.46,0.01806,24.85,11.21,25.7,34.29,20.86,12.5,66.69,69.12,48.35,21.12,0.5218,0.9,0.7739,0.5813,0.8217,0.2219,0.4198,0.5975,0.1514,638.7,539.6,76.18,0.2756
