gen,candidate,kind,fitness,homeGoals,awayGoals,goalDiff,shotDiff,boxDiff,attThirdDiff,possDiff,reversals,transPerSec,stationary,ShootRangeNear,ShootRangeFar,ShootScoreNear,ShootScoreFar,ShootPressurePenalty,RoleAttackForward,RoleAttackMidfielder,RoleAttackDefender,PassBaseScore,PassScoreScale,PassPressureBonus,PassFarBonus,CrossBonus,PassBoomerangSeconds,PassFailMemorySeconds,PassFailPenaltyFactor,DribbleBaseScore,DribbleLaneBonus,DribbleFreeSpaceBonus,DribbleEnterMargin,DribbleCommitSeconds,DribbleEnterMaxBallSpeed,ScrambleRadius,ScramblePlayers,ScrambleMinBallSpeed,ScramblePersistSeconds,ContestCommitSeconds,ClearScore,ChaseBaseScore,ChaseDesignationBonus,ChaseNonDesignatedPenalty,ChaseReassignMargin,ScrambleReassignMargin,HoldBaseScore,ActionCommitMargin,PostPassCommitSeconds,CoverOffsetDistance,CoverScore,CoverReassignMargin,PassOfferRunDepth,PassOfferRunWidth,PassOfferReassignMargin,AttackBallPull,AttackMinSpacing,AttackDepthDefender,AttackDepthMidfielder,AttackDepthForward,HomePositionLerp,DeepRunDepth,DefendDepthDefender,DefendDepthMidfielder,DefendDepthForward,DefendBallPull,GKChaseGoalDistance,GKChaseBallDistance,GKLineOffset,GKTrackLerp,GKShotDetectSpeed,GKDiveBurst,GKAdvanceMax,GKCloseDownLerp
0,parent,parent,98.8582,19.000,0.000,19.000,162.000,10.000,117.117,2.176,3607.000,26.073,58.950,1819,1905,220,108.4,7.297,1.567,0.8586,0.8466,12.66,0.03224,15.01,10.63,50,3.281,18.14,0.3371,30.59,21.16,8.211,2.458,0.7153,1190,493.6,3.691,254.8,0.9696,0.785,47.79,69.79,22.28,1.893,108.8,900,44.06,10.96,1.475,426.9,93.69,280.1,642.2,576.6,25.91,0.1399,255.6,0.4284,0.8827,0.8099,0.3857,0.9911,0.2576,0.308,0.9074,0.1106,545.6,628.2,31.49,0.6513,494,3.489,303.6,0.8
0,child0,child,98.2500,23.000,0.000,23.000,134.000,19.000,168.600,3.265,3833.000,29.213,53.033,1839,1654,220,110.4,7.247,1.696,0.7755,0.8142,13.26,0.02781,16.21,13.82,49.73,3.622,18.43,0.4072,31.83,18.64,7.635,2.699,0.7662,1134,412.7,3.886,307.3,1.008,0.8033,52.47,80.04,26.03,2.118,94,706.1,40.78,8.306,1.515,435.2,77.12,238.5,648.7,514.9,32.32,0.1468,240.4,0.3967,0.5915,0.9121,0.3374,0.8291,0.2151,0.3217,0.9008,0.1129,532.7,534.9,38.96,0.5443,452.5,3.636,296.7,0.7756
0,child1,child,71.1501,22.000,1.000,21.000,119.000,-5.000,-35.850,2.644,4292.000,29.567,50.783,1644,2538,220,94.04,7.852,1.727,0.8544,0.8943,12.23,0.03116,12.96,10.46,50,3.084,18.71,0.3334,25.14,26.19,8.141,2.367,0.7216,1250,416.6,3.433,257.5,1.082,0.6893,55.15,83.87,21.62,1.97,131.6,900,42.27,12.05,1.54,387.8,78.43,229.1,614.6,545.8,22.71,0.1206,258.3,0.4621,0.9759,0.9225,0.4212,1,0.2691,0.3693,0.9373,0.1159,691.8,792.1,30.89,0.8,687.9,3.3,308.9,0.8
0,child2,child,31.7923,11.000,1.000,10.000,67.000,6.000,17.283,2.275,2638.000,21.673,58.433,1464,2022,220,94.95,7.113,1.375,0.8929,0.9147,14.49,0.03766,15.59,10.29,50,3.332,17.47,0.338,25.45,25.9,6.192,2.286,0.8112,1375,485.4,4.361,235.7,0.9482,0.8302,53.54,65.94,22.79,1.636,94.57,811.4,35.38,11.03,1.647,488.2,95.83,309.7,580.6,561.5,25.76,0.1257,258.7,0.4432,1,0.7588,0.3595,1,0.2344,0.2738,0.7381,0.09904,425.8,637.4,35.5,0.5261,469.5,2.956,345.4,0.8
0,child3,child,113.6900,27.000,1.000,26.000,158.000,14.000,158.367,2.496,4329.000,25.353,47.000,1895,1982,220,114,7.219,1.545,0.937,1.078,12.64,0.03044,16.25,9.988,48.2,3.583,18.92,0.3689,28.88,23.14,7.928,2.519,0.6987,1191,427.4,3.844,253.2,0.7863,0.7753,44.47,76.6,24.14,1.692,121.9,900,57.88,13.15,1.423,444.5,81.08,241.1,593.6,533.9,23.8,0.1389,226.9,0.5139,0.9548,0.7315,0.4337,0.8211,0.253,0.3132,1,0.1058,466.3,622.4,34.03,0.7282,511.9,2.971,283.3,0.8
0,child4,child,80.1558,23.000,2.000,21.000,132.000,25.000,181.333,3.135,4893.000,29.233,71.850,2066,1983,180.5,96.51,6.328,1.689,0.8033,0.8098,11.7,0.03137,16.44,10.26,41.27,3.682,20,0.3551,29.94,18.57,9.51,1.909,0.776,1179,384.4,3.757,318.4,1.002,0.8161,48.87,87.34,22.47,1.532,114.6,900,46.62,10.84,1.182,450.9,97.28,335.6,621.6,597.3,24.48,0.129,263.8,0.4916,0.8126,0.8396,0.5133,0.873,0.2976,0.2787,0.8805,0.1134,611.3,771.4,28.42,0.7145,470.1,3.408,369.2,0.8
0,child5,child,120.5811,26.000,0.000,26.000,154.000,23.000,146.750,3.756,3667.000,25.720,45.900,1778,1820,220,100.1,7.522,1.57,0.9111,0.9545,14.15,0.03448,15.82,11.21,45.81,3.535,18.53,0.3574,29.74,21.83,7.399,2.521,0.7854,1178,418.4,3.522,240.5,0.9669,0.7541,54.09,69.1,22.01,1.788,94.34,900,48.8,12.09,1.445,455.2,100,261.5,639.4,485,22.68,0.1428,261.6,0.3676,0.8375,0.8287,0.3693,0.9782,0.2043,0.3281,0.7767,0.09079,665.9,602.5,28.81,0.6498,423.3,3.033,293.7,0.6807
0,child6,child,44.2549,12.000,1.000,11.000,103.000,-7.000,59.000,2.782,3307.000,21.513,61.950,1750,1674,173.9,115.4,7.317,1.666,0.9876,0.9694,12.25,0.03837,15.2,10.41,50,3.014,20,0.2835,32.4,21.74,10.7,2.443,0.8372,1108,435.3,3.082,256,0.9512,0.7094,46.18,64.3,27.6,1.741,125.9,900,37.09,10.69,1.815,416.7,73.39,260.2,674.8,669.3,30.44,0.1124,262.9,0.4364,0.7929,0.8271,0.4205,0.7607,0.2452,0.2916,1,0.0972,619.3,604.6,28.01,0.6738,558.3,3.332,248.2,0.752
0,child7,child,84.2829,19.000,0.000,19.000,133.000,13.000,110.600,2.038,3702.000,24.400,55.883,1983,1566,220,120,6.812,1.349,0.8752,1.007,13.27,0.02934,15,10.26,39.8,3.517,18.25,0.2761,29.76,21.12,7.481,2.232,0.6707,1230,564,3.828,254.3,1.086,0.7825,64.07,67.29,21.96,1.945,95.78,899.3,42.02,10.98,1.521,459.2,77.36,311.6,581.5,590.5,22.82,0.167,224.1,0.3862,0.9013,0.6936,0.3857,1,0.3051,0.3011,0.9822,0.1197,566.6,610.7,29.5,0.692,514.7,3.597,303.7,0.7073
0,child8,child,19.5251,8.000,1.000,7.000,65.000,7.000,189.900,1.444,3100.000,28.533,60.417,1827,1806,180.7,120,7.369,1.737,0.881,0.8456,13.03,0.02994,11.39,10.92,50,2.945,16.11,0.3823,32.18,19.3,8.323,2.369,0.8074,1469,468.3,5.196,264.9,0.9339,0.8909,52.11,82.96,19.94,2.075,92.18,900,38.71,9.78,1.768,411.9,84.15,329.4,615.3,581.7,25.98,0.1524,243.6,0.4213,1,0.9129,0.3424,0.9059,0.2691,0.3312,0.9162,0.111,709,623.7,30.13,0.5455,523.3,3.789,316.2,0.8
